"doc_id","AB","TI","DE","PY","DT","DI","LA"
"PERATA J, 2023, PROC - LAT AMERICAN COMPUT CONF, CLEI","In this paper we present the results of carrying out a security assessment of the FIWARE technology, by adopting an offensive perspective in the search of potential vulnerabilities involved in deployments of FIWARE components in certain architecture configurations. We consider a referential scenario that includes core components of a FIWARE platform. By experimenting in a locally controlled environment, it was possible to identify a series of security issues. Then, we put forward a threat model following the OWASP methodology that embodies several artifacts, namely, decomposition of the referential platform, a data flow diagram, a STRIDE threat modeling, attack analysis and the identification of attack objectives. We were able to implement attacks for three of the identified attack goals. The approach conducted for the referential platform was validated by performing an exploratory analysis of a real working and productive FIWARE platform, distinguishing different types of attacks that could be implemented, ending up with a set of recommendations in terms of components, architecture and access control. © 2024 Elsevier B.V., All rights reserved.","A Security Analysis of a Referential Architecture of the FIWARE Platform","FIWARE; security assessment; threat analysis",2023,"CONFERENCE PAPER","10.1109/CLEI60451.2023.10346164","SPANISH"
"HANS J, 2023, INT CONF BLOCKCHAIN COMPUT APPL, BCCA","In strategic response to the increasing threats from crypto payment systems, cryptocurrencies, and stablecoins, central banks globally are contemplating the introduction of their digital currencies, termed Central Bank Digital Currencies (CBDCs). This trend, especially the emergence of CBDCs built on blockchain technology, instigates significant discourse on security and privacy concerns. This research paper delves into the potential security risks of blockchain-based CBDCs, distinguishing between permissionless and permissioned network architectures and token-based and account-based access mechanisms. We employed STRIDE, a threat modeling methodology, to elucidate these risks, on architectural constructs derived from CBDC proposals and use cases, identifying 39 distinct threats. Our study intends to enrich the ongoing dialogue on the evolution of blockchain-based CBDCs. The findings provide a robust foundation to guide and inform prudent design decisions by offering a detailed understanding of potential security and privacy risks, thereby contributing to developing more secure CBDCs. © 2024 Elsevier B.V., All rights reserved.","Blockchain CBDC Security Threats Using STRIDE","Blockchain; Central Bank Digital Currencies; Cybersecurity; STRIDE; Threat Modeling",2023,"CONFERENCE PAPER","10.1109/BCCA58897.2023.10338905","ENGLISH"
"PAVAN K T A, 2023, IET CONF PROC","The ever-growing cyber-attack vectors on the critical infrastructure demands that operation technology infrastructure providers design and build cyber-attack resilient systems. This calls for a need that the cyber security aspect of the overall system is considered from the design phase of the various components of the overall system. In this paper, a generic software architecture, and the security design aspects of an Industrial IoT Edge gateway (Also known as Edge) are discussed. This design aspects supports the critical infrastructure system asset owners and vendors to adhere to the Confidentiality, Integrity, and Availability (CIA) principles of the security. The manuscript focuses on the threat model following the STRIDE analysis, provides the potential attack surface analysis, and the corresponding threat mitigation techniques for the Edge device. The paper highlights various aspects of security footprint and security controls such as secure boot, secure communication, and secure patch update for the Edge gateway. The security concerns, risks and the mitigation solutions proposed can serve as a guide for various operation technology device manufacturers and vendors while building or integrating an Edge device that connects the operation technology industrial devices to the internet facing cloud-based data storage solutions or on-premises data storages. Such an Edge device serves as a key communication device (and a potential cyber-attack surface) that has a wide variety of applications such as a simple smart meter with limited functionality to a more complex Edge gateway that transmits large volume of telemetry data to the Cloud data stores. The ideas presented are not just limited to smart device ecosystems but also to similar devices in substation automation, distributed automation, and process automation products that act as a bridge between Operation Technology (OT) networks and Internet facing (IT network: Enterprise and Cloud) solutions. Identifying the potential cyber-threats and the attack surface and securing the device by design will save the various partners in the critical infrastructure industry in terms of the operational costs, reputation, and potential human loss. © 2024 Elsevier B.V., All rights reserved.","CYBER SECURITY OF AN INDUSTRIAL IOT GATEWAY DEVICE - A THREAT MODEL VIEW AND SECURITY ASPECTS","Cloud; Cyber Security; Edge; Gateway; Hardware security; IIoT; Root of trust; Secure boot; Secure communications; Secure Storage; Secure update; Security; STRIDE; Threat Modeling",2023,"CONFERENCE PAPER","10.1049/icp.2023.0828","ENGLISH"
"KARACĄY L, 2023, INT CONF 6G NETW, 6GNET","With the recent advances in 5G and 6G communications and the increasing need for immersive interactions due to pandemic, new use cases such as All-Senses meeting are emerging. To realize these use cases, numerous sensors, actuators, and virtual reality devices are used. Additionally, Artificial Intelligence (AI) and Machine Learning (ML) can be used to analyze large amount of data generated by 6G networks and devices to enable new applications and services. While AI/ML technologies are evolving, they do not have the same level of security as well-known information technology components. So, AI/ML threats and their impacts can be overlooked. On the other hand, due to inherent characteristics of AI/ML components and design of AI/ML pipeline, AI/ML services can be a target for sophisticated attacks. In order to provide a holistic security view, the effect of AI/ML components should be investigated, threats should be identified, and countermeasures should be planned. Therefore, in this study, which is a continuation of our previous study [1], we shed the light on the use of AI/ML services in All-Senses meeting use case and their security aspects by carrying out a threat modelling using the STRIDE framework. Additionally, we point out some countermeasures for identified threats. © 2023 Elsevier B.V., All rights reserved.","On the Security of 6G Use Cases: AI/ML-specific Threat Modeling of All-Senses Meeting","6G; AI/ML; holographic communication; security; threat analysis",2023,"CONFERENCE PAPER","10.1109/6GNet58894.2023.10317758","ENGLISH"
"CHOU Y, 2023, GCCE - IEEE GLOB CONF CONSUM ELECTRON","Since the automobile industry enhances driving safety features and caters to increasing demands for driver entertainment, in order to reduce the time and cost of automobile software/firmware updates, the Over-The-Air (OTA) updates play a vital role. Any malicious updates or update failures, however, can pose significant personal safety risks. Hence, OTA updates in vehicular systems have emerged as a critical area of research. While some studies have explored secure transmission protocols between OTA Cloud and vehicles [1] , [2] , the secure flow of update packages towards the target components remains unaddressed. This paper aims to mitigate these security threats in vehicular update processes. We first examine the structure of the In Vehicle Network (IVN) in future automobiles, then establish an update threat model using STRIDE. Drawing upon international standards for vehicular software updates such as UNECE R156 and ISO 24089, we design security mechanisms for in-vehicle components, ensuring confidentiality, integrity, and authenticity of the update process. Moreover, we use the Two Phase Commit mechanism to ensure update atomicity within zonal architecture. © 2023 Elsevier B.V., All rights reserved.","Enhancing OTA Update Security in Zonal Architecture for Automobiles",NA,2023,"CONFERENCE PAPER","10.1109/GCCE59613.2023.10315400","ENGLISH"
"KUMAR R, 2023, IECON PROC","Cyber-physical system such as automatic metering infrastructure (AMI) are overly complex infrastructures. With myriad stakeholders, real-time constraints, heterogeneous platforms and component dependencies, a plethora of attacks possibilities arise. Despite the best of available technology countermeasures and compliance standards, security practitioners struggle to protect their infrastructures. At the same time, it is important to note that not all attacks are same in terms of their likelihood of occurrence and impact. Hence, it is important to rank the various attacks and perform scenario analysis to have an objective decision on security countermeasures. In this paper, we make a comprehensive security risk analysis of AMI, both qualitatively and quantitatively. Qualitative analysis is performed by ranking the attacks in terms of sensitivity and criticality. Quantitative analysis is done by arranging the attacks as an attack tree and performing Bayesian analysis. Typically, state-of-the-art quantitative security risk analysis suffers from data scarcity. We acknowledge the aforementioned problem and circumvent it by using standard vulnerability database. Different from state-of-the-art surveys on the subject, which captures the big picture, our work is geared to is provide the prioritized baselines in addressing most common and damaging attacks. © 2023 Elsevier B.V., All rights reserved.","Realistic Attacks with Realistic Attackers: An Information-Security Risk Analysis of an Automatic Metering Infrastructure","Attack trees; Automatic metering infrastructure; Cyber attacks; Smart grids",2023,"CONFERENCE PAPER","10.1109/IECON51785.2023.10312002","ENGLISH"
"HARIHARAN J, 2023, IET CONF PROC","This study investigates impact on customers’ perceptions due to a cyber-attack by mapping STRIDE threat modelling to confidentiality, integrity, and availability (CIA) cybersecurity requirements of an e-commerce platform. Further, it studies the influence of loyalty programs and its customer segmentation. The study is based on response from 120 e-commerce customers. Results indicate, confidentiality compromise has the highest negative impact on customers’ perception. About 82% respondents expressed perceived privacy risk and concerns as most impacted due to a cyber-attack. Despite these concerns, non-loyal customers are more concerned about purchasing securely by at least 10%. Whereas, loyal customers are affected more emotionally by at most 13%. These findings contribute to the body of literature on customer perception of security, privacy, and trust due to a cyber-attack on digital platforms (such as e-commerce websites) impacting the organisational reputation within the wider digital economy. The result of this work is valuable for information security and socio-technical experts, as well as regulatory authorities, in the progressing digital economy. © 2023 Elsevier B.V., All rights reserved.","Customers’ Perception of Cybersecurity Risks in E-Commerce Websites",NA,2023,"CONFERENCE PAPER","10.1049/icp.2023.2565","ENGLISH"
"PÖHN D, 2023, LECT NOTES INFORMATICS (LNI), PROC - SERIES GES INFORM (GI)","Self-sovereign identity (SSI) is a relatively young identity management paradigm allowing digital identities to be managed in a user-centric, decentralized manner, often but not necessarily utilizing distributed ledger technologies. This emerging technology gets into the focus through the new electronic IDentification, Authentication and trust Services (eIDAS) regulation in Europe. As identity management involves the management and use of personally identifiable information, it is important to evaluate the threats to SSI. We apply the STRIDE (Spoofing, Tampering, Repudiation, Information Disclosure, Denial of Service, and Elevation of Privilege) threat modeling approach to the core components of SSI architecture and the interactions between them. Based on the summarized results, we discuss relevant mitigation methods and future research areas. © 2024 Elsevier B.V., All rights reserved.","Modeling the Threats to Self-Sovereign Identities","identity management; security analysis; Self-sovereign identity; threat modeling",2023,"CONFERENCE PAPER","10.18420/OID2023_07","ENGLISH"
"QIN Y, 2023, PROC - INT CONF ARTIF INTELL AUTON ROBOT SYST, AIARS","In order to fully comprehend the information security risks that the ICVs may be confronted with, and enhance the level of information security protection of the ICVs, it is necessary to comprehensively analyze the threats, challenges and potential risks faced by the ICVs proceeding from its architecture characteristics. Therefore, an architecture hierarchical model is proposed to divide the ICV architecture into four layers, which are the sensing device layer for collecting signals, the network communication layer for exchanging information among vehicles and various heterogeneous networks, the control service layer for executing computational decisions and the external connection layer accessed in a physical or wireless manner. A threat identification system based on STRIDE, analysis method directing at the four-layer model of intelligent network architecture is proposed to analyze different information security problems faced by each layer. The experimental results show that the method can effectively improve the accuracy and coverage rate of the threat analysis about the ICVs. Finally, on the basis of the threat identification results of the ICVs, different in vehicle communication domains are divided for ICVs according to the information security risks and security levels by detailed layering of architecture of vehicle-mounted network in the perspective of defense-in-depth of information security, so as to reduce the security risks of the network communication layer. © 2023 Elsevier B.V., All rights reserved.","Research on Threat Identification and Protection Methods for Information Security of Intelligent Connected Vehicles","automotive information security; ICV; risk analysis; STRIDE; threat identification; vehicle -mounted network architecture",2023,"CONFERENCE PAPER","10.1109/AIARS59518.2023.00057","ENGLISH"
"NA, 2023, INT CONF INF SYST SECUR PRIV","The proceedings contain 87 papers. The special focus in this conference is on Information Systems Security and Privacy. The topics include: Cybersecurity Awareness and Capacities of SMEs; an Explainable Convolutional Neural Network for Dynamic Android Malware Detection; Towards a Rust SDK for Keystone Enclave Application Development; machine Learning Based Prediction of Vulnerability Information Subject to a Security Alert; an End-to-End Encrypted Cache System with Time-Dependent Access Control; concrete Quantum Circuits to Prepare Generalized Dicke States on a Quantum Machine; Towards Audit Requirements for AI-Based Systems in Mobility Applications; Tracing Cryptographic Agility in Android and iOS Apps; CHARRA-PM: An Attestation Approach Relying on the Passport Model; evaluation Scheme to Analyze Keystroke Dynamics Methods; Revisiting the DFT Test in the NIST SP 800-22 Randomness Test Suite; veto: Prohibit Outdated Edge System Software from Booting; SHOID: A Secure Herd of IoT Devices Firmware Update Protocol; An Analysis of Cybersecurity Awareness Efforts for Swiss SMEs; using Infrastructure-Based Agents to Enhance Forensic Logging of Third-Party Applications; Systematically Searching for Identity-Related Information in the Internet with OSINT Tools; security Analysis of a Color Image Encryption Scheme Based on Dynamic Substitution and Diffusion Operations; measurements of Cross-Border Quantum Key Distribution Link; evaluating the Fork-Awareness of Coverage-Guided Fuzzers; SWaTEval: An Evaluation Framework for StatefulWeb Application Testing; clipaha: A Scheme to Perform Password Stretching on the Client; Automating XSS Vulnerability Testing Using Reinforcement Learning; TTP-Aided Searchable Encryption of Documents Using Threshold Secret Sharing; an Efficient Unified Architecture for Polynomial Multiplications in Lattice-Based Cryptoschemes; privacy-Aware IoT: State-of-the-Art and Challenges. © 2023 Elsevier B.V., All rights reserved.","9th International Conference on Information Systems Security and Privacy, ICISSP 2023",NA,2023,"CONFERENCE REVIEW",NA,"ENGLISH"
"HOSSAIN M, 2023, PROC - IEEE INT CONF METAVERSE COMPUT, NETW APPL, METACOM","The Metaverse is the future of the Internet-connected world of social networks. It uses emerging technologies such as extended reality (XR), virtual reality (VR), augmented reality (AR), and meta-quest headsets. As the popularity of the Metaverse grows, cyber-criminals are increasingly targeting it and its users. Unfortunately, security and privacy are some of the most challenging areas of the Metaverse, and yet, very little focus has been given to making it trustworthy. To achieve this goal, it is important to perform a thorough and systematic security analysis that would allow the adoption of proper mitigation strategies. A threat model-based analysis can help in such an analysis. This paper presents a threat model-based systematic security analysis of the Metaverse. We use the widely accepted STRIDE model to identify the threats of the Metaverse along with corresponding mitigation strategies. Our threat model can help the users, researchers, and developers build a trustworthy Metaverse. © 2023 Elsevier B.V., All rights reserved.","Threat Model-based Security Analysis and Mitigation Strategies for a Trustworthy Metaverse","Metaverse; Security; Threat Model; Virtual World",2023,"CONFERENCE PAPER","10.1109/MetaCom57706.2023.00021","ENGLISH"
"YAJIMA J, 2023, J INFO PROCESS","In this paper, we propose a new framework for security risk assessment. To conduct security analysis efficiently, it is necessary for developers to assess the security risks of machine learning based system (MLS) by them-selves, but existing technologies cannot be used to such a purpose. Using the proposed framework, MLS developers can assess the security risks of MLSs by themselves. Our framework consists of two phases. In the preparation phase, a machine learning security expert extracts conditions of adversarial attacks for each adversarial attack method and makes an attack tree for each attack method using the extracted conditions. In addition, they prepare yes/no questions corresponding to extracted conditions. In the assessment phase, MLS developers just answer yes/no questions, and the assessment results are shown. We asked some developers to evaluate our proposal by implementing the proposed framework. As a result, they found some vulnerabilities in MLSs they chose to analyze. We received positive comments from them as results of the questionnaire. © 2023 Elsevier B.V., All rights reserved.","ASRA-Q: AI Security Risk Assessment by Selective Questions","artificial intelligence; machine learning; risk assessment; security; threat analysis",2023,"ARTICLE","10.2197/IPSJJIP.31.654","ENGLISH"
"CHORFA W, 2023, PROC IEEE SYMP COMPUT COMMUN","The integration of software-defined network (SDN) and Internet of Things (IoT) networks offers solutions to IoT network issues. However, this integration also introduces new security challenges and increases the attack surface of IoT networks. Existing studies on the security of SD-IoT networks lack structure and real-world descriptions of attack vectors. To address these limitations, our paper proposes a formal methodology for evaluating SD-IoT framework security through threat modeling. Our approach classifies attack vectors using the STRIDE model, describes their Tactics, Techniques, and Procedures (TTPs) using the Mitre ATTCK framework, and proposes countermeasures. We demonstrate the potential of our methodology by applying it to a use case of modeling security for Software-Defined Vehicle Networks (SDVNs) in intelligent transport systems (ITS). Our preliminary findings are very promising towards a formal methodology for evaluating SDIoT framework security, which could serve as a foundation for developing a new SD-IoT security standard. © 2023 Elsevier B.V., All rights reserved.","Threat Modeling with Mitre ATT&CK Framework Mapping for SD-IOT Security Assessment and Mitigations","Attack Vectors; Mitre ATT&CK; SD-IoT; SDVN; Threat Modeling",2023,"CONFERENCE PAPER","10.1109/ISCC58397.2023.10217945","ENGLISH"
"DOMUKHOVSKY N, 2023, PROC - IEEE URAL-SIBERIAN CONF BIOMED ENG, RADIOELECTRON INF TECHNOL, USBEREIT","Solution of a number of tasks in the field of computer systems security analysis requires building the most optimal strategy of intruder's actions: analysis of system security, a detailed risk assessment of the operated or designed system, solving the problem of optimal placement of information protection tools, etc. Building an optimal strategy often involves creation of attack trees or attack graphs. After building such objects one can search for the optimal path from the intruder's starting position to the target system malicious event (e.g., disabling the target component). This can be achieved for example by classical optimization problems solutions on graphs. However, when considering real systems, it is necessary to take into account the presence of multiple intruder starting positions that represent, for example, vulnerable system components accessible from external networks. Moreover, usually intruder needs to disable several system components in order to damage the system as a whole. This paper presents a description of the attack impact graph, for which the problem of finding an optimal attack strategy is solved, as well as an method for finding the optimal strategy of an intruder in a computer system modelled by an attack graph. Presented method accepts possibility of multiple initial attack vectors and a set of components (target events) that must be affected by the attack to cause damage to the system. © 2023 Elsevier B.V., All rights reserved.","Best Computer System Attack Strategy Finding Method","attack graph; attack tree; directed Steiner problem; optimal strategy; system topology modeling",2023,"CONFERENCE PAPER","10.1109/USBEREIT58508.2023.10158822","ENGLISH"
"KUZMINA U, 2023, PROC - INT RUSSIAN SMART IND CONF, SMARTINDUSTRYCON","With the help of a well-Thought-out information security threat model, you can develop a protection plan that will be based on current threats. The task of creating the most effective system for assessing the state of asset protection of an enterprise is one of the main goals of modeling. They imply the universality of information security concepts. You should use various methodologies of this process with the necessary perspective and sufficient level of detail to describe the threat models. An approach using all possible threat implementations is constructed in the form of trees or attack graphs (GAT) with verification of their properties. The set of threats, connections and their parameters are determined by asset owners and information security specialists. The elimination of shortcomings in the security model with complete overlap became possible thanks to the use of such a data set and the described structure. In this article, we describe the creation of a software application for automating and formalizing the process of assessing the information security of information system assets and localization of information system security bottlenecks. A distinctive feature of the application is the use of the threat database of the FSTEC of Russia to simulate an attack tree. FSTEC of Russia is the state regulator in the field of information security. The developed software application saves time by simplifying the process of assessing the security of information systems, and also makes the process of threat modeling visual. © 2023 Elsevier B.V., All rights reserved.","Building an Attack Tree for Analysis of Information Security Risks","attack graph; countermeasures; information assets; information risks; information security threats; security model",2023,"CONFERENCE PAPER","10.1109/SmartIndustryCon57312.2023.10110738","ENGLISH"
"MAHLOUS A, 2023, INFORMATICA","The emergence of smart homes, driven by the rapid growth and development of technology, has brought numerous benefits to human life, including convenience and improved wellbeing. However, the incorporation of IoT devices into smart homes and their connection to the Internet have created new security and privacy challenges that affect the confidentiality, integrity, and availability of data collected and exchanged by these devices. Such challenges have led to security threats that render IoT devices in smart homes vulnerable to various vector attacks. To provide a comprehensive picture of the security of smart homes, this paper applies the STRIDE [1] threat model to identify potential threats at different layers, namely the IoT device, communication, and application layers. Additionally, a risk-rating security threat model, DREAD, is used to assess the risks of these threats. Finally, this paper proposes a risk mitigation strategy to respond to the rated risks and improve the security of smart home IoT systems. The primary aim of this paper is to enhance the understanding of the various security threats insmart homes and provide a security baseline to enhance the security of smart home IoT systems. © 2023 Elsevier B.V., All rights reserved.","Threat Model and Risk Management for a Smart Home IoT System","DRED; IoT; security risk assessment; smart homes; STRIDE",2023,"ARTICLE","10.31449/INF.V47I1.4526","ENGLISH"
"BALAMURUGAN K, 2023, PROC INT CONF ARTIF INTELL SMART ENERGY, ICAIS","Cyber security plays a major concern in various types of organizations. The security of software systems creates a threat in terms of software threat and design threats. The process involves relevant mitigation approaches, predicting security susceptibilities to software assets and processes. The security necessities of software assets and processes are identified and numerous methodologies have been developed. Threat modelling is a technique for determining security requirements and implementing them into the design of software systems. Software developers can add mitigations to their designs to make them more dependable and safe by using threat modeling to detect all potential dangers to software systems. Since its inception, numerous threat modelling strategies have been created. The proposed approach gives a summary of the several threat modeling methods that are suitable for various environment. Models like ""STRIDE, PASTA, OCTAVE, Attack trees, Security Cards, and CVSS""are included in the proposed study. © 2023 Elsevier B.V., All rights reserved.","An Analysis of Various Cyber Threat Modeling","Cyber security; OCTAVE; PASTA; STRIDE; Threat",2023,"CONFERENCE PAPER","10.1109/ICAIS56108.2023.10073771","ENGLISH"
"VALADARES D, 2023, LECT NOTES NETWORKS SYST","The fifth-generation (5G) mobile communication systems are already a reality. This communication technology can increase and simplify the adoption of the Internet of Things (IoT) applications (e.g., industrial IoT), given that it will provide the means to connect up to one million devices in a squared kilometer. Many of these applications can generate sensitive data, which requires the adoption of security mechanisms, and these mechanisms must consider the computational limitations of the devices. Considering that IoT devices under security attacks can access the 5G infrastructure, this paper presents recommendations and challenges regarding security in IoT devices. It also presents a threat model and a few common attacks, classifying them with the STRIDE model and CVSS and discussing how they can impact the 5G infrastructure. © 2023 Elsevier B.V., All rights reserved.","Security Challenges and Recommendations in 5G-IoT Scenarios",NA,2023,"CONFERENCE PAPER","10.1007/978-3-031-29056-5_48","ENGLISH"
"EBRAHIMI M, 2022, SAE TECHNI PAPER","As a result of the ever-increasing application of cyber-physical components in the automotive industry, cybersecurity has become an urgent topic. Adapting technologies and communication protocols like Ethernet and WiFi in connected vehicles yields many attack scenarios. Consequently, ISO/SAE 21434 and UN R155 (2021) define a standard and regulatory framework for automotive cybersecurity, Both documents follow a risk management-based approach and require a threat modeling methodology for risk analysis and identification. Such a threat modeling methodology must conform to the Threat Analysis and Risk Assessment (TARA) framework of ISO/SAE 21434. Conversely, existing threat modeling methods enumerate isolated threats disregarding the vehicle's design and connections. Consequently, they neglect the role of attack paths from a vehicle's interfaces to its assets. In other words, they are missing the TARA work products, e.g., attack paths compromising assets or feasibility and impact ratings. We propose a threat modeling methodology to construct attack paths by identifying, sequencing, and connecting vulnerabilities from a valid attack surface to an asset. Initially, we transform cybersecurity guidelines to attack trees, and then we use their formal interpretations to assess the vehicle's design. This workflow yields compositional construction of attack paths along with the required TARA work products (e.g., attack paths, feasibility, and impact). More importantly, we can apply the workflow iteratively in the context of connected vehicles to ensure design conformity, privacy, and cybersecurity. Finally, to show the complexity and the importance of preemptive threat identification and risk analysis in the automotive industry, we evaluate the presented modelbased approach in a connected vehicle testing platform, SPIDER. © 2023 Elsevier B.V., All rights reserved.","Identification and Verification of Attack-Tree Threat Models in Connected Vehicles","Connected Vehicles; Cybersecurity Analysis; Design Verification; ISO/SAE 21434; Threat Identification; Threat Modelling; UN R155",2022,"CONFERENCE PAPER","10.4271/2022-01-7087","ENGLISH"
"KANG S, 2022, J KOREAN INST COMMUN INF SCI","Due to the advantages and convenience of wireless networks, the use of wireless networks is rapidly increasing, and not only individuals, but also public institutions and businesses are providing wireless Wi-Fi services as essential services. As a result, attacks targeting wireless network routers are also increasing every year, and when vulnerabilities occur, enormous damage occurs. Because Wireless routers are easy to secure and access, attacks can occur without physical access. And the level of security protocols provided by wireless router products is different, so it is important to analyze vulnerabilities through threat analysis on wireless routers. In this paper, we created a data flow diagram (DFD) of a wireless network router, analyzed the data flow between the network router and Internet devices, and applied the STRIDE threat modeling technique to systematically identify threats. Additionally we applied the attack tree, and DREAD model to threats. Finally, a checklist for checking the security functions of the wireless network router is proposed to contribute to the improvement of the security of the wireless network router. © 2024 Elsevier B.V., All rights reserved.","Threat Analysis of the Wireless Network Router Using STRIDE Threat Modeling","Network Router; Risk Analysis; STRIDE; Threat Modeling",2022,"ARTICLE","10.7840/kics.2022.47.11.1788","KOREAN"
"TEDYYANA A, 2022, INDONES J ELECTRICAL ENG COMPUT SCI","The mobile-based service complaint application is one way to implement good governance today. Public facilitated to make complaints without going through a complicated process. Security aspects must be considered to protect user privacy. The security design must be considered so that no one is harmed by the application's users damaged in the application's use. This study used threat modeling during the planning stage of developing a citizen service complaint application to obtain information about vulnerabilities. The researcher uses the threat modeling process that the open web application security project (OWASP) organization has formulated as a framework. The researchers took steps to describe application information, determine and rank threats, countermeasures, and mitigation. In the final stage, the spoofing, tampering, repudiation, information disclosure, denial of service and elevation of privilege (STRIDE) threat modeling methodology is used to analyze and assess mitigation actions against threats in the application. The researcher gets a defense strategy to reduce the danger based on the threat analysis results. Threat modeling in the early phase software development life cycle process is constructive in ensuring that software is developed with adequate security based on threat mitigation from the beginning. © 2022 Elsevier B.V., All rights reserved.","Threat modeling in application security planning citizen service complaints","Abuse case; Application security; Citizen services; STRIDE; Threat modeling",2022,"ARTICLE","10.11591/ijeecs.v28.i2.pp1020-1027","ENGLISH"
"HUQ N, 2022, SAE TECHNI PAPER","The UN working group WP.29 published UN Regulation No. 155, the ""Uniform provisions concerning the approval of vehicles with regards to cyber security and cyber security management systems,""which became a binding resolution on January 22nd, 2021 with expectations that at least 54 countries will mandate it starting July 2022. The regulation lists 69 attack vectors directly affecting vehicle cyber security. Car manufacturers, suppliers, government organizations, etc. all stakeholder's cooperation and efforts are necessary for the successful implementation of the published regulation. The first course of action is to sort these attack vectors according to their expected threat severity levels, so stakeholders can determine the order in which to tackle mitigating said threats. In this paper, using the industry standard DREAD threat modelling, we calculated the severity levels of the attack vectors listed in the WP.29 UN-R155 cyber security regulation. Additionally, we go beyond the attack vectors listed in UN-R155 - using our own analysis, experience and insights, we explored other attack vectors that will also affect vehicle cybersecurity. © 2022 Elsevier B.V., All rights reserved.","Identifying Cybersecurity Focus Areas in Connected Cars Based on WP.29 UN-R155 Attack Vectors and beyond",NA,2022,"CONFERENCE PAPER","10.4271/2022-01-0116","ENGLISH"
"LUO F, 2022, SAE TECHNI PAPER","As the connectivity of vehicles increases rapidly, more vehicles have the capability to communicate with each other. Because Vehicular Ad-hoc NETworks (VANETs) have the characteristics of solid mobility and decentralization, traditional security strategies such as authentication, firewall, and access control are difficult to play an influential role. As a soft security method, trust management can ensure the security attributes of VANETs. However, the rapid growth of newly encountered nodes of the trust management system also increases the requirements for trust establishing mechanisms. Without a proper trust establishment mechanism, the trust value of the newly encountered nodes will deviate significantly from its actual performance, and the trust management system will suffer from newcomer attacks. In this article, we propose a trust establishment mechanism based on the Fuzzy Analytic Hierarchy Process (FAHP), which takes into account the historical trust value of the encountered node, the historical driving mileage of the vehicle, the risk values of six factors obtained from the threat analysis and risk assessment (TARA) model STRIDE (Spoofing, Tampering, Repudiation, Information Disclosure, Denial of Service, Elevation of privilege), the road segment trust value of the access point and the interval of separation from the trust management system. Then we use Python to simulate our proposed trust establishment mechanism. It can be seen from the experimental results that the trust establishment mechanism we proposed can make the trust value of the newly accessed node closer to its actual historical performance. The trust establishment mechanism can also improve the identification accuracy of malicious nodes who want to implement newcomer attacks. © 2022 Elsevier B.V., All rights reserved.","A Trust Establishment Mechanism of VANETs based on Fuzzy Analytical Hierarchy Process (FAHP)",NA,2022,"CONFERENCE PAPER","10.4271/2022-01-0142","ENGLISH"
"SOWKA K, 2022, SAE TECHNI PAPER","As the need for automotive assurance continues to grow, it becomes necessary to develop approaches which can provide assurance cases in a systematic and efficient manner. In the case of cybersecurity, this problem is exacerbated by the increasing complexity of vehicular onboard systems, their inherent obscurity due to their heterogenous architecture, emergent behaviors, and the disparate motivations and resources of potential threat agents. Furthermore, the advancement of connected autonomous vehicles (CAV) may allow external attackers to leverage the naïve trust ECUs have for adjacent devices to compromise the safety and security of the vehicle. To that end, there is an increased interest in automatically producing threat models such as attack trees, which usually rely on intensive expert driven construction or rudimentary formally defined processes, to identify potential threats to a vehicle. Therefore, this paper will explore the ways in which such an automated scheme could be applied for a practicable identification and analysis of potential attack paths. Although ISO/SAE 21434 recommends the development of an assurance case for cybersecurity, the precise nature of a cybersecurity case is not explicitly defined within the standard. Therefore, this paper also explores the combination of threat modelling techniques with assurance case techniques adapted from accepted practice in vehicle safety for functional safety (per ISO 26262) while taking into consideration the relevant standards. © 2022 Elsevier B.V., All rights reserved.","Requirements for the Automated Generation of Attack Trees to Support Automotive Cybersecurity Assurance",NA,2022,"CONFERENCE PAPER","10.4271/2022-01-0124","ENGLISH"
"BROWN S, 2022, SN COMPUT SCI","Threat modelling Cyber-Physical System built on cloud infrastructure to monitor and manage the window cleaning operation using Window Cleaning Warehouse as a case study. Focusing on IoT data collection and cloud infrastructure security and the connections with the Cyber-Physical System. External dependencies and trust levels are defined before using trust boundaries and data flow diagrams to highlight attack surfaces. Expected scenarios from the data flow diagrams are discussed to identify violated intended use of the system using STRIDE threat classification. A risk assessment of assets that may be of interest to an adversary aid the discovery of more security risks that are then prioritised using the DREAD methodology. The results of the research present a comprehensive breakdown of vulnerabilities associated with IoT data security for route optimisation ranging from GPS spoofing, to Firestore vulnerabilities in the real-time database to Bluetooth Low Energy vulnerabilities in the IoT hardware, all of which could be common risks in cyber-physical systems designed by SME businesses. The research concludes various security risks applicable to SME businesses adopting industry 4.0 to alleviate the risk of new security breaches to the business through this adoption, increasing the likelihood of successful adoption of industry 4.0. © 2025 Elsevier B.V., All rights reserved.","Threat Modelling of Cyber Physical Systems: A Real Case Study Based on Window Cleaning Business","Cloud computing; Cloud security; Cyber physical system; Database security; Internet of things",2022,"ARTICLE","10.1007/s42979-022-01021-3","ENGLISH"
